07001	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	22	1	24	1	1	1	1	29	1	31	1	1	1	35	1	1	1	4	1	1	1	1	1	1	11	1
07002	2	2	2	2	2	2	2	2	2	2	2	2	2	2	15	2	2	2	2	2	2	22	2	1	2	2	2	2	1	2	31	2	2	34	35	2	2	2	1	5	2	2	2	2	2	1	12
07003	3	3	3	4	3	3	3	3	3	3	3	3	3	3	1	3	3	18	3	3	3	1	23	2	3	3	3	3	2	3	1	32	3	1	1	1	3	3	2	1	6	3	3	3	3	2	1
07004	4	4	1	1	4	6	4	4	4	10	4	4	4	4	2	16	17	1	4	4	4	2	1	3	25	4	4	4	3	4	2	1	4	2	2	1	2	4	4	2	1	4	4	4	4	3	2
07005	1	5	2	2	5	1	5	5	9	1	5	5	5	5	3	1	1	2	19	20	5	3	2	4	1	5	5	5	4	30	3	2	5	3	3	2	2	5	1	3	2	5	5	5	5	11	3
07006	1	6	3	3	6	2	6	6	1	2	6	6	6	6	4	16	2	3	1	20	6	4	23	5	2	6	6	28	5	1	4	3	6	4	4	3	1	3	2	4	6	6	6	6	6	1	4
07007	1	7	4	4	7	3	7	7	2	3	7	7	7	14	5	16	3	4	2	1	7	5	1	6	25	26	7	1	6	2	5	4	7	5	35	4	2	1	4	5	1	7	7	9	7	2	5
07008	2	2	5	5	8	4	8	8	3	4	11	8	8	1	6	1	4	5	3	2	21	6	23	7	1	1	8	2	7	3	6	5	8	6	1	5	3	2	4	6	2	7	8	1	8	3	6
07009	1	1	3	6	9	5	9	1	9	5	1	9	9	2	7	2	5	6	19	3	1	7	1	8	2	2	9	3	8	4	7	6	9	34	2	6	4	3	1	7	3	1	9	9	9	4	12
07010	1	2	1	7	10	6	10	8	1	6	2	10	10	3	8	3	6	18	1	4	2	8	2	9	3	3	10	4	29	5	8	7	10	34	3	7	5	4	2	8	4	2	10	9	10	11	1
07011	2	3	2	8	11	1	11	1	2	7	3	11	11	4	9	4	7	1	2	5	3	9	3	10	4	4	11	5	29	6	9	32	33	34	35	8	6	5	3	9	5	3	11	9	10	1	2
07012	3	4	3	9	12	2	12	2	3	8	4	12	12	5	15	5	8	2	3	6	4	10	4	11	5	5	12	6	29	7	10	1	1	34	1	9	7	6	4	10	6	7	12	1	1	11	3
07013	4	5	1	10	13	3	13	3	4	9	5	12	13	6	1	6	17	3	4	7	5	11	5	12	6	6	27	7	29	8	11	2	2	34	2	10	8	7	5	11	6	1	13	9	2	1	4
07014	1	2	2	11	14	4	7	4	5	10	6	1	14	7	2	7	1	4	5	8	6	12	6	13	7	7	1	8	29	9	12	32	3	1	3	11	9	8	6	12	6	7	14	1	3	2	5
07015	1	2	3	12	15	5	1	8	6	11	7	12	13	8	3	8	17	5	6	9	7	13	7	14	8	8	2	9	1	10	13	1	4	2	4	12	10	9	7	13	1	1	15	2	4	11	12
07016	1	1	4	13	16	6	2	1	7	12	8	1	1	14	4	9	1	6	19	10	8	14	8	24	9	9	3	10	2	11	31	2	5	3	5	13	11	3	8	14	2	2	16	3	5	1	12
07017	1	2	5	14	17	7	3	2	8	13	9	2	13	14	5	10	2	7	1	11	9	15	9	1	10	10	4	11	29	12	1	32	6	34	6	14	12	3	9	15	3	3	17	4	6	2	12
07018	2	3	3	4	18	8	4	3	9	14	10	3	1	1	6	16	3	8	2	12	10	16	23	2	11	11	5	28	1	13	2	1	7	1	7	15	13	1	10	16	6	4	18	9	7	3	1
07019	3	4	3	1	19	6	5	4	10	15	11	4	2	2	7	1	17	9	3	13	11	22	23	3	12	12	6	1	2	14	3	2	8	2	8	16	14	2	4	17	6	5	19	1	8	4	2
07020	4	2	1	2	20	6	6	5	11	16	11	12	3	3	8	2	1	18	4	14	12	1	1	4	13	13	7	2	3	15	4	3	9	3	9	17	15	3	1	5	1	6	20	2	9	5	12
07021	5	2	2	4	21	1	7	6	12	17	1	1	4	4	9	3	2	1	5	15	13	2	2	24	14	14	8	3	29	16	5	4	33	4	10	1	2	4	2	1	2	7	21	3	10	6	1
07022	6	1	3	1	22	2	8	8	13	10	2	12	5	5	10	4	3	2	6	16	14	3	23	1	25	15	9	4	1	17	6	5	1	5	11	1	1	3	3	2	3	8	22	4	10	7	2
07023	7	2	4	2	23	3	9	8	14	10	3	1	6	6	11	5	4	3	7	17	15	4	23	2	1	16	10	5	2	18	7	32	2	34	12	2	2	1	4	3	4	9	8	5	10	8	3
07024	8	3	5	3	24	6	10	1	15	1	4	2	7	7	12	16	5	4	8	20	16	5	1	3	25	17	11	6	3	19	31	1	3	1	13	3	3	2	4	4	5	10	1	9	1	9	4
07025	9	4	6	4	25	1	11	2	16	2	5	3	8	8	13	1	6	5	9	1	17	22	2	24	1	26	27	7	4	20	1	2	4	34	14	4	2	3	1	5	6	11	2	1	10	10	5
07026	10	5	7	5	5	2	12	3	9	3	6	4	13	9	14	2	7	6	10	2	18	1	3	1	2	1	1	8	5	21	2	3	33	1	35	1	1	4	2	6	7	12	8	2	1	11	6
07027	11	2	3	6	1	3	13	4	1	10	7	5	1	10	15	3	8	7	19	3	19	2	4	2	3	2	27	9	6	22	3	4	1	2	1	1	2	5	3	7	6	13	1	3	10	12	7
07028	12	1	1	7	2	4	14	5	2	1	8	6	2	11	16	4	9	8	1	20	20	3	5	3	4	26	1	10	7	30	4	5	2	34	35	2	3	3	4	8	1	14	2	4	10	13	8
07029	13	2	2	8	3	5	15	6	3	2	9	7	3	12	15	5	10	9	2	1	21	22	6	4	25	1	2	11	29	1	5	6	3	1	35	3	4	1	5	9	2	15	3	9	1	11	9
07030	14	3	3	9	4	6	16	7	4	3	11	8	4	14	1	6	11	10	3	2	22	1	7	5	1	2	27	12	1	2	6	7	33	2	35	4	2	2	6	10	3	7	4	1	2	1	10
07031	15	4	3	10	5	7	17	8	5	4	1	9	5	1	2	7	12	11	4	3	21	2	8	6	2	3	27	13	2	3	31	32	1	3	1	5	1	3	7	11	6	1	8	2	3	2	11
07032	1	5	1	11	6	8	18	9	6	5	2	10	13	2	3	8	13	12	5	4	21	3	23	7	3	4	1	14	3	4	1	32	2	4	2	6	2	4	4	12	1	2	1	3	4	11	12
07033	1	6	2	12	5	9	19	8	7	6	3	11	1	14	4	9	14	13	6	5	1	22	1	8	4	5	2	15	4	5	2	1	3	5	3	7	3	3	1	13	2	3	2	4	5	1	12
07034	1	7	3	13	1	6	20	8	8	7	11	12	13	1	5	10	15	14	7	6	2	22	2	9	5	6	3	16	5	6	3	2	4	6	4	8	2	1	2	14	3	4	3	5	6	11	1
07035	2	8	4	14	2	1	7	1	9	8	11	13	1	2	6	16	16	15	8	7	3	1	3	10	6	7	4	17	6	7	31	32	5	7	5	1	1	2	3	15	4	5	4	6	7	1	12
07036	3	9	5	15	3	2	1	2	10	9	1	14	2	3	15	1	17	18	9	8	21	2	4	11	7	8	27	18	7	8	1	1	6	34	6	1	2	3	4	16	5	6	5	7	8	2	1
07037	1	10	6	16	4	6	7	3	11	10	2	15	3	4	1	2	17	1	10	9	1	3	5	12	8	9	1	19	8	9	31	2	7	1	7	1	1	4	5	17	6	7	6	8	9	11	12
07038	1	11	7	17	5	6	1	4	12	11	3	16	4	5	2	3	1	2	11	10	21	4	6	13	25	10	27	20	9	10	1	32	8	2	8	2	2	5	6	18	7	8	8	9	10	1	1
07039	2	12	8	18	6	1	2	5	13	10	11	17	5	6	3	4	2	3	12	20	21	5	7	14	1	11	1	21	10	11	2	1	9	3	35	3	3	6	7	19	8	7	1	1	11	11	2
07040	3	13	9	19	5	2	3	6	14	1	1	18	6	7	4	5	3	4	13	1	21	6	8	15	25	12	2	28	11	12	3	2	10	4	35	1	4	7	4	20	9	1	2	2	12	1	3
